year,month,average_temperature_f,temperature_anomaly_f,state
2010,1,40,-5.1,Alabama
2010,2,40.6,-7.4,Alabama
2010,3,51.2,-3.9,Alabama
2010,4,64.2,1.3,Alabama
2010,5,73.3,2.6,Alabama
2010,6,80.9,3.4,Alabama
2010,7,82.6,2.7,Alabama
2010,8,83,3.6,Alabama
2010,9,76.9,2.2,Alabama
2010,10,64.3,0.4,Alabama
2010,11,55.2,1.7,Alabama
2010,12,40.3,-6.1,Alabama
2011,1,41.1,-4,Alabama
2011,2,49.5,1.5,Alabama
2011,3,57.8,2.7,Alabama
2011,4,65.7,2.8,Alabama
2011,5,69.9,-0.8,Alabama
2011,6,81.2,3.7,Alabama
2011,7,81.7,1.8,Alabama
2011,8,81.8,2.4,Alabama
2011,9,72.1,-2.6,Alabama
2011,10,60.6,-3.3,Alabama
2011,11,55.3,1.8,Alabama
2011,12,49.3,2.9,Alabama
2012,1,50.1,5,Alabama
2012,2,52.1,4.1,Alabama
2012,3,64.6,9.5,Alabama
2012,4,65,2.1,Alabama
2012,5,73.4,2.7,Alabama
2012,6,76.8,-0.7,Alabama
2012,7,81.6,1.7,Alabama
2012,8,78.1,-1.3,Alabama
2012,9,73,-1.7,Alabama
2012,10,62.2,-1.7,Alabama
2012,11,51.2,-2.3,Alabama
2012,12,50.9,4.5,Alabama
2013,1,50,4.9,Alabama
2013,2,48,0,Alabama
2013,3,49.8,-5.3,Alabama
2013,4,62.2,-0.7,Alabama
2013,5,68.2,-2.5,Alabama
2013,6,78,0.5,Alabama
2013,7,77.7,-2.2,Alabama
2013,8,77.9,-1.5,Alabama
2013,9,75,0.3,Alabama
2013,10,64.9,1,Alabama
2013,11,51.6,-1.9,Alabama
2013,12,47.9,1.5,Alabama
2014,1,37.3,-7.8,Alabama
2014,2,47.3,-0.7,Alabama
2014,3,52.3,-2.8,Alabama
2014,4,62.4,-0.5,Alabama
2014,5,70.2,-0.5,Alabama
2014,6,77.9,0.4,Alabama
2014,7,77.8,-2.1,Alabama
2014,8,79.5,0.1,Alabama
2014,9,76.3,1.6,Alabama
2014,10,65.2,1.3,Alabama
2014,11,48.2,-5.3,Alabama
2014,12,50,3.6,Alabama
2015,1,43.6,-1.5,Alabama
2015,2,41.3,-6.7,Alabama
2015,3,57.8,2.7,Alabama
2015,4,66,3.1,Alabama
2015,5,71.8,1.1,Alabama
2015,6,78.8,1.3,Alabama
2015,7,81.6,1.7,Alabama
2015,8,79,-0.4,Alabama
2015,9,74.4,-0.3,Alabama
2015,10,65,1.1,Alabama
2015,11,59.2,5.7,Alabama
2015,12,56.9,10.5,Alabama
2016,1,43,-2.1,Alabama
2016,2,49.8,1.8,Alabama
2016,3,59.7,4.6,Alabama
2016,4,63.6,0.7,Alabama
2016,5,70.2,-0.5,Alabama
2016,6,79.2,1.7,Alabama
2016,7,82,2.1,Alabama
2016,8,81.6,2.2,Alabama
2016,9,78.6,3.9,Alabama
2016,10,68.5,4.6,Alabama
2016,11,57.8,4.3,Alabama
2016,12,50.1,3.7,Alabama
2017,1,52.4,7.3,Alabama
2017,2,55.6,7.6,Alabama
2017,3,58.4,3.3,Alabama
2017,4,67.2,4.3,Alabama
2017,5,69.9,-0.8,Alabama
2017,6,75.8,-1.7,Alabama
2017,7,80.6,0.7,Alabama
2017,8,78.8,-0.6,Alabama
2017,9,73.4,-1.3,Alabama
2017,10,65.8,1.9,Alabama
2017,11,55.6,2.1,Alabama
2017,12,46.9,0.5,Alabama
2018,1,40.4,-4.7,Alabama
2018,2,58,10,Alabama
2018,3,55.4,0.3,Alabama
2018,4,59.5,-3.4,Alabama
2018,5,74.4,3.7,Alabama
2018,6,79.3,1.8,Alabama
2018,7,80.7,0.8,Alabama
2018,8,79.5,0.1,Alabama
2018,9,79.4,4.7,Alabama
2018,10,67.4,3.5,Alabama
2018,11,50.4,-3.1,Alabama
2018,12,49,2.6,Alabama
2019,1,46.5,1.4,Alabama
2019,2,56.1,8.1,Alabama
2019,3,55,-0.1,Alabama
2019,4,63.5,0.6,Alabama
2019,5,74.2,3.5,Alabama
2019,6,78.1,0.6,Alabama
2019,7,80.6,0.7,Alabama
2019,8,80.6,1.2,Alabama
2019,9,80.2,5.5,Alabama
2019,10,67.8,3.9,Alabama
