Country,Year,Annual_dengue_total
Afghanistan,2021,4176.0
American Samoa,2000,0.0
American Samoa,2001,500.0
American Samoa,2002,1185.0
American Samoa,2003,0.0
American Samoa,2004,0.0
American Samoa,2005,0.0
American Samoa,2006,53.0
American Samoa,2007,126.0
American Samoa,2008,649.0
American Samoa,2009,419.0
American Samoa,2010,51.0
American Samoa,2015,479.0
American Samoa,2016,0.0
American Samoa,2017,111.0
American Samoa,2018,0.0
American Samoa,2019,4.0
Anguilla,2000,3.0
Anguilla,2001,25.0
Anguilla,2002,5.0
Anguilla,2003,2.0
Anguilla,2004,0.0
Anguilla,2005,0.0
Anguilla,2006,0.0
Anguilla,2007,0.0
Anguilla,2008,9.0
Anguilla,2009,0.0
Anguilla,2010,1.0
Anguilla,2011,9.0
Anguilla,2012,7.0
Anguilla,2013,8.0
Anguilla,2014,2.0
Anguilla,2015,0.0
Anguilla,2017,10.0
Anguilla,2018,1.0
Anguilla,2019,0.0
Anguilla,2020,0.0
Antigua And Barbuda,2000,8.0
Antigua And Barbuda,2001,20.0
Antigua And Barbuda,2002,5.0
Antigua And Barbuda,2003,1.0
Antigua And Barbuda,2004,0.0
Antigua And Barbuda,2005,0.0
Antigua And Barbuda,2006,0.0
Antigua And Barbuda,2007,0.0
Antigua And Barbuda,2008,17.0
Antigua And Barbuda,2009,0.0
Antigua And Barbuda,2010,3.0
Antigua And Barbuda,2011,7.0
Antigua And Barbuda,2012,10.0
Antigua And Barbuda,2013,3.0
Antigua And Barbuda,2014,2.0
Antigua And Barbuda,2015,0.0
Antigua And Barbuda,2016,1.0
Antigua And Barbuda,2017,0.0
Antigua And Barbuda,2018,0.0
Antigua And Barbuda,2019,54.0
Antigua And Barbuda,2020,353.0
Antigua And Barbuda,2021,0.0
Antigua And Barbuda,2022,0.0
Argentina,2000,1700.0
Argentina,2001,11.0
Argentina,2002,234.0
Argentina,2003,135.0
Argentina,2004,3284.0
Argentina,2005,249.0
Argentina,2006,181.0
Argentina,2007,173.0
Argentina,2008,40.0
Argentina,2009,26612.0
Argentina,2010,1185.0
Argentina,2011,213.0
Argentina,2012,2803.0
Argentina,2013,9357.0
Argentina,2014,3207.0
Argentina,2015,4529.0
Argentina,2016,78034.0
Argentina,2017,523.0
Argentina,2018,744.0
Argentina,2019,3283.0
Argentina,2020,59290.0
Argentina,2021,3801.0
Argentina,2022,383.0
Aruba,2000,76.0
Aruba,2001,0.0
Aruba,2002,25.0
Aruba,2004,173.0
Aruba,2005,0.0
Aruba,2006,5.0
Aruba,2007,0.0
Aruba,2008,0.0
Aruba,2009,845.0
Aruba,2010,1415.0
Aruba,2011,3027.0
Aruba,2012,0.0
Aruba,2013,528.0
Aruba,2014,49.0
Aruba,2016,51.0
Aruba,2017,0.0
Aruba,2018,9.0
Aruba,2019,0.0
Aruba,2020,1.0
Aruba,2021,0.0
Aruba,2022,0.0
Australia,2000,217.0
Australia,2001,183.0
Australia,2002,224.0
Australia,2003,868.0
Australia,2004,356.0
Australia,2005,219.0
Australia,2006,188.0
Australia,2007,316.0
Australia,2008,557.0
Australia,2009,1404.0
Australia,2010,1228.0
Australia,2011,821.0
Australia,2012,1539.0
Australia,2013,1841.0
Australia,2014,1721.0
Australia,2015,1716.0
Australia,2016,2239.0
Australia,2017,1135.0
Australia,2018,933.0
Australia,2019,1469.0
Australia,2020,224.0
Australia,2021,11.0
Australia,2022,535.0
Bahamas,2000,0.0
Bahamas,2001,0.0
Bahamas,2002,0.0
Bahamas,2003,180.0
Bahamas,2004,1.0
Bahamas,2005,0.0
