Country,Country Code,Year,Avg_Dengue
AFGHANISTAN,AFG,2021,379.6363636363636
AMERICAN SAMOA,ASM,2000,0.0
AMERICAN SAMOA,ASM,2001,500.0
AMERICAN SAMOA,ASM,2002,1185.0
AMERICAN SAMOA,ASM,2003,0.0
AMERICAN SAMOA,ASM,2004,0.0
AMERICAN SAMOA,ASM,2005,0.0
AMERICAN SAMOA,ASM,2006,53.0
AMERICAN SAMOA,ASM,2007,126.0
AMERICAN SAMOA,ASM,2008,649.0
AMERICAN SAMOA,ASM,2009,419.0
AMERICAN SAMOA,ASM,2010,51.0
AMERICAN SAMOA,ASM,2015,479.0
AMERICAN SAMOA,ASM,2016,0.0
AMERICAN SAMOA,ASM,2017,37.0
AMERICAN SAMOA,ASM,2018,0.0
AMERICAN SAMOA,ASM,2019,1.3333333333333333
ANGUILLA,AIA,2000,3.0
ANGUILLA,AIA,2001,25.0
ANGUILLA,AIA,2002,5.0
ANGUILLA,AIA,2003,2.0
ANGUILLA,AIA,2004,0.0
ANGUILLA,AIA,2005,0.0
ANGUILLA,AIA,2006,0.0
ANGUILLA,AIA,2007,0.0
ANGUILLA,AIA,2008,9.0
ANGUILLA,AIA,2009,0.0
ANGUILLA,AIA,2010,1.0
ANGUILLA,AIA,2011,9.0
ANGUILLA,AIA,2012,7.0
ANGUILLA,AIA,2013,8.0
ANGUILLA,AIA,2014,0.4
ANGUILLA,AIA,2015,0.0
ANGUILLA,AIA,2017,1.6666666666666667
ANGUILLA,AIA,2018,0.08333333333333333
ANGUILLA,AIA,2019,0.0
ANGUILLA,AIA,2020,0.0
ANTIGUA AND BARBUDA,ATG,2000,8.0
ANTIGUA AND BARBUDA,ATG,2001,20.0
ANTIGUA AND BARBUDA,ATG,2002,5.0
ANTIGUA AND BARBUDA,ATG,2003,1.0
ANTIGUA AND BARBUDA,ATG,2004,0.0
ANTIGUA AND BARBUDA,ATG,2005,0.0
ANTIGUA AND BARBUDA,ATG,2006,0.0
ANTIGUA AND BARBUDA,ATG,2007,0.0
ANTIGUA AND BARBUDA,ATG,2008,17.0
ANTIGUA AND BARBUDA,ATG,2009,0.0
ANTIGUA AND BARBUDA,ATG,2010,3.0
ANTIGUA AND BARBUDA,ATG,2011,7.0
ANTIGUA AND BARBUDA,ATG,2012,10.0
ANTIGUA AND BARBUDA,ATG,2013,3.0
ANTIGUA AND BARBUDA,ATG,2014,0.3333333333333333
ANTIGUA AND BARBUDA,ATG,2015,0.0
ANTIGUA AND BARBUDA,ATG,2016,0.3333333333333333
ANTIGUA AND BARBUDA,ATG,2017,0.0
ANTIGUA AND BARBUDA,ATG,2018,0.0
ANTIGUA AND BARBUDA,ATG,2019,18.0
ANTIGUA AND BARBUDA,ATG,2020,29.416666666666668
ANTIGUA AND BARBUDA,ATG,2021,0.0
ANTIGUA AND BARBUDA,ATG,2022,0.0
ARGENTINA,ARG,2000,1700.0
ARGENTINA,ARG,2001,11.0
ARGENTINA,ARG,2002,234.0
ARGENTINA,ARG,2003,135.0
ARGENTINA,ARG,2004,3284.0
ARGENTINA,ARG,2005,249.0
ARGENTINA,ARG,2006,181.0
ARGENTINA,ARG,2007,173.0
ARGENTINA,ARG,2008,40.0
ARGENTINA,ARG,2009,26612.0
ARGENTINA,ARG,2010,1185.0
ARGENTINA,ARG,2011,213.0
ARGENTINA,ARG,2012,2803.0
ARGENTINA,ARG,2013,4678.5
ARGENTINA,ARG,2014,267.25
ARGENTINA,ARG,2015,377.4166666666667
ARGENTINA,ARG,2016,7094.0
ARGENTINA,ARG,2017,43.583333333333336
