year,month,precipitation_inches,precipitation_anomaly_inches,state
2010,1,6.21,1.05,Alabama
2010,2,4.22,-0.99,Alabama
2010,3,5.07,-1.09,Alabama
2010,4,2.82,-2.02,Alabama
2010,5,6.15,1.92,Alabama
2010,6,3.26,-1.08,Alabama
2010,7,3.5,-1.94,Alabama
2010,8,4.83,0.5,Alabama
2010,9,1.61,-2.17,Alabama
2010,10,2.59,-0.27,Alabama
2010,11,4.73,0.88,Alabama
2010,12,2.2,-2.95,Alabama
2011,1,4.03,-1.13,Alabama
2011,2,3.49,-1.72,Alabama
2011,3,8.18,2.02,Alabama
2011,4,5.08,0.24,Alabama
2011,5,1.64,-2.59,Alabama
2011,6,3.55,-0.79,Alabama
2011,7,5.52,0.08,Alabama
2011,8,2.05,-2.28,Alabama
2011,9,7.21,3.43,Alabama
2011,10,0.79,-2.07,Alabama
2011,11,4.13,0.28,Alabama
2011,12,5.04,-0.11,Alabama
2012,1,5.44,0.28,Alabama
2012,2,4.49,-0.72,Alabama
2012,3,5.35,-0.81,Alabama
2012,4,1.89,-2.95,Alabama
2012,5,4.16,-0.07,Alabama
2012,6,4,-0.34,Alabama
2012,7,5.75,0.31,Alabama
2012,8,6.07,1.74,Alabama
2012,9,5.35,1.57,Alabama
2012,10,2.91,0.05,Alabama
2012,11,1.36,-2.49,Alabama
2012,12,6.61,1.46,Alabama
2013,1,6.27,1.11,Alabama
2013,2,8.86,3.65,Alabama
2013,3,3.83,-2.33,Alabama
2013,4,5.71,0.87,Alabama
2013,5,4,-0.23,Alabama
2013,6,5.81,1.47,Alabama
2013,7,8.7,3.26,Alabama
2013,8,5.5,1.17,Alabama
2013,9,3.2,-0.58,Alabama
2013,10,1.47,-1.39,Alabama
2013,11,3.42,-0.43,Alabama
2013,12,7.93,2.78,Alabama
2014,1,2.7,-2.46,Alabama
2014,2,5.75,0.54,Alabama
2014,3,5.57,-0.59,Alabama
2014,4,9.67,4.83,Alabama
2014,5,4.27,0.04,Alabama
2014,6,5.23,0.89,Alabama
2014,7,3.36,-2.08,Alabama
2014,8,3.25,-1.08,Alabama
2014,9,2.51,-1.27,Alabama
2014,10,4.38,1.52,Alabama
2014,11,2.98,-0.87,Alabama
2014,12,6.36,1.21,Alabama
2015,1,4.34,-0.82,Alabama
2015,2,4.05,-1.16,Alabama
2015,3,4.28,-1.88,Alabama
2015,4,7.14,2.3,Alabama
2015,5,4.32,0.09,Alabama
2015,6,3.27,-1.07,Alabama
2015,7,4.71,-0.73,Alabama
2015,8,4.94,0.61,Alabama
2015,9,2.71,-1.07,Alabama
2015,10,2.93,0.07,Alabama
2015,11,6.8,2.95,Alabama
2015,12,11.87,6.72,Alabama
2016,1,4.06,-1.1,Alabama
2016,2,5.85,0.64,Alabama
2016,3,5.42,-0.74,Alabama
2016,4,5.68,0.84,Alabama
2016,5,2.14,-2.09,Alabama
2016,6,3.81,-0.53,Alabama
2016,7,4.27,-1.17,Alabama
2016,8,4.58,0.25,Alabama
2016,9,1.72,-2.06,Alabama
2016,10,0.13,-2.73,Alabama
2016,11,2.3,-1.55,Alabama
2016,12,5.05,-0.1,Alabama
2017,1,9.17,4.01,Alabama
2017,2,3.7,-1.51,Alabama
2017,3,4.17,-1.99,Alabama
2017,4,4.09,-0.75,Alabama
2017,5,7.01,2.78,Alabama
2017,6,10.7,6.36,Alabama
2017,7,5.06,-0.38,Alabama
2017,8,6.07,1.74,Alabama
2017,9,3.25,-0.53,Alabama
2017,10,6.03,3.17,Alabama
2017,11,1.05,-2.8,Alabama
2017,12,3.89,-1.26,Alabama
2018,1,2.32,-2.84,Alabama
2018,2,7.27,2.06,Alabama
2018,3,4.14,-2.02,Alabama
2018,4,5.94,1.1,Alabama
2018,5,5.52,1.29,Alabama
2018,6,4.58,0.24,Alabama
2018,7,4.46,-0.98,Alabama
2018,8,5.03,0.7,Alabama
2018,9,6.21,2.43,Alabama
2018,10,2.69,-0.17,Alabama
2018,11,6.29,2.44,Alabama
2018,12,9.95,4.8,Alabama
2019,1,6.01,0.85,Alabama
2019,2,6.21,1,Alabama
2019,3,3.4,-2.76,Alabama
2019,4,6.24,1.4,Alabama
2019,5,3.59,-0.64,Alabama
2019,6,4.47,0.13,Alabama
2019,7,4.02,-1.42,Alabama
2019,8,4.99,0.66,Alabama
2019,9,0.41,-3.37,Alabama
2019,10,7.12,4.26,Alabama
2019,11,3.24,-0.61,Alabama
2019,12,6.6,1.45,Alabama
2020,1,7.44,2.28,Alabama
2020,2,10.37,5.16,Alabama
2020,3,6.18,0.02,Alabama
2020,4,7.1,2.26,Alabama
2020,5,3.64,-0.59,Alabama
2020,6,5.16,0.82,Alabama
2020,7,5.3,-0.14,Alabama
2020,8,5.78,1.45,Alabama
2020,9,6,2.22,Alabama
2020,10,5.11,2.25,Alabama
2020,11,2.75,-1.1,Alabama
2020,12,3.84,-1.31,Alabama
2010,1,1.93,-0.8,Alaska
2010,2,1.6,-0.72,Alaska
2010,3,2.61,0.38,Alaska
2010,4,1.79,-0.1,Alaska
2010,5,1.16,-0.95,Alaska
2010,6,2.71,0.37,Alaska
2010,7,4.56,1.28,Alaska
2010,8,3.98,-0.39,Alaska
2010,9,3.19,-1.38,Alaska
2010,10,4.18,-0.21,Alaska
2010,11,4.29,0.9,Alaska
2010,12,1.85,-1.22,Alaska
2011,1,2.56,-0.17,Alaska
2011,2,2.86,0.54,Alaska
2011,3,0.83,-1.4,Alaska
2011,4,1.65,-0.24,Alaska
2011,5,1.39,-0.72,Alaska
2011,6,2.58,0.24,Alaska
2011,7,3.7,0.42,Alaska
2011,8,6.06,1.69,Alaska
2011,9,5.01,0.44,Alaska
2011,10,4.16,-0.23,Alaska
2011,11,3.28,-0.11,Alaska
2011,12,4.66,1.59,Alaska
2012,1,2.79,0.06,Alaska
2012,2,2.74,0.42,Alaska
2012,3,1.82,-0.41,Alaska
2012,4,1.05,-0.84,Alaska
2012,5,2.63,0.52,Alaska
2012,6,2.88,0.54,Alaska
2012,7,4.21,0.93,Alaska
2012,8,4.52,0.15,Alaska
2012,9,7.25,2.68,Alaska
2012,10,2.95,-1.44,Alaska
2012,11,1.98,-1.41,Alaska
2012,12,2.46,-0.61,Alaska
2013,1,3.51,0.78,Alaska
2013,2,2.84,0.52,Alaska
2013,3,1.74,-0.49,Alaska
2013,4,1.89,0,Alaska
2013,5,2.39,0.28,Alaska
2013,6,1.76,-0.58,Alaska
2013,7,3.12,-0.16,Alaska
2013,8,4.54,0.17,Alaska
2013,9,5.42,0.85,Alaska
2013,10,6.43,2.04,Alaska
2013,11,4.06,0.67,Alaska
2013,12,3.11,0.04,Alaska
2014,1,4.34,1.61,Alaska
2014,2,1.04,-1.28,Alaska
2014,3,1.53,-0.7,Alaska
2014,4,1.42,-0.47,Alaska
2014,5,1.79,-0.32,Alaska
2014,6,3.81,1.47,Alaska
2014,7,4.59,1.31,Alaska
2014,8,4.85,0.48,Alaska
2014,9,4.82,0.25,Alaska
2014,10,3.2,-1.19,Alaska
2014,11,2.52,-0.87,Alaska
2014,12,2.84,-0.23,Alaska
2015,1,3.17,0.44,Alaska
2015,2,1.84,-0.48,Alaska
2015,3,2.26,0.03,Alaska
2015,4,2.73,0.84,Alaska
2015,5,1.82,-0.29,Alaska
2015,6,2.07,-0.27,Alaska
2015,7,3.92,0.64,Alaska
2015,8,4.88,0.51,Alaska
2015,9,6.21,1.64,Alaska
2015,10,4.16,-0.23,Alaska
2015,11,5.39,2,Alaska
2015,12,1.65,-1.42,Alaska
2016,1,2.71,-0.02,Alaska
2016,2,2.48,0.16,Alaska
2016,3,2.25,0.02,Alaska
2016,4,2.3,0.41,Alaska
2016,5,2.68,0.57,Alaska
2016,6,2.68,0.34,Alaska
2016,7,4.18,0.9,Alaska
2016,8,5.2,0.83,Alaska
2016,9,5.89,1.32,Alaska
2016,10,1.7,-2.69,Alaska
2016,11,2.9,-0.49,Alaska
2016,12,2.1,-0.97,Alaska
2017,1,2.9,0.17,Alaska
2017,2,2.34,0.02,Alaska
2017,3,1.19,-1.04,Alaska
2017,4,0.9,-0.99,Alaska
2017,5,2.76,0.65,Alaska
2017,6,2.09,-0.25,Alaska
2017,7,3.42,0.14,Alaska
2017,8,6.02,1.65,Alaska
2017,9,5.32,0.75,Alaska
2017,10,5.23,0.84,Alaska
2017,11,2.34,-1.05,Alaska
2017,12,3.55,0.48,Alaska
2018,1,2.44,-0.29,Alaska
2018,2,2.08,-0.24,Alaska
2018,3,2.03,-0.2,Alaska
2018,4,2.08,0.19,Alaska
2018,5,2.98,0.87,Alaska
2018,6,3.01,0.67,Alaska
2018,7,2.77,-0.51,Alaska
2018,8,6.53,2.16,Alaska
2018,9,2.57,-2,Alaska
2018,10,4.92,0.53,Alaska
2018,11,3.57,0.18,Alaska
2018,12,2.92,-0.15,Alaska
2019,1,2.5,-0.23,Alaska
2019,2,2.2,-0.12,Alaska
2019,3,2.53,0.3,Alaska
2019,4,1.92,0.03,Alaska
2019,5,2.37,0.26,Alaska
2019,6,1.81,-0.53,Alaska
2019,7,2.89,-0.39,Alaska
2019,8,3.37,-1,Alaska
2019,9,5.45,0.88,Alaska
2019,10,4.82,0.43,Alaska
2019,11,5.1,1.71,Alaska
2019,12,3.04,-0.03,Alaska
2020,1,1.89,-0.84,Alaska
2020,2,3.01,0.69,Alaska
2020,3,2.28,0.05,Alaska
2020,4,2.73,0.84,Alaska
2020,5,1.49,-0.62,Alaska
2020,6,3.18,0.84,Alaska
2020,7,3.39,0.11,Alaska
2020,8,4.39,0.02,Alaska
2020,9,4.07,-0.5,Alaska
2020,10,3.39,-1,Alaska
2020,11,3.99,0.6,Alaska
2020,12,4.13,1.06,Alaska
2010,1,3.41,2.28,Arizona
2010,2,1.44,0.3,Arizona
2010,3,1.03,-0.08,Arizona
2010,4,0.27,-0.31,Arizona
2010,5,0.06,-0.28,Arizona
2010,6,0.08,-0.21,Arizona
2010,7,1.97,0.18,Arizona
2010,8,1.84,-0.25,Arizona
2010,9,0.6,-0.58,Arizona
2010,10,1.35,0.45,Arizona
2010,11,0.19,-0.66,Arizona
2010,12,1.67,0.5,Arizona
2011,1,0.05,-1.08,Arizona
2011,2,1.05,-0.09,Arizona
2011,3,0.33,-0.78,Arizona
2011,4,0.41,-0.17,Arizona
2011,5,0.28,-0.06,Arizona
2011,6,0.02,-0.27,Arizona
2011,7,1.76,-0.03,Arizona
2011,8,1.28,-0.81,Arizona
2011,9,1.31,0.13,Arizona
2011,10,0.67,-0.23,Arizona
2011,11,0.92,0.07,Arizona
